batchId,error,createTime
512,,2023-06-27 13:19:27.586754
513,,2023-06-27 13:23:20.951215
515,,2023-06-28 10:17:12.180181
516,,2023-06-28 10:39:13.305776
517,,2023-06-28 14:24:49.518046
518,,2023-06-28 15:18:06.715539
168,"基础主题-获取新增数据失败-('createTime',);",2023-06-28 15:43:29.535165
169,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 15:46:49.861835
170,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 16:19:41.170391
171,"基础主题-获取新增数据失败-('createTime',);基础主题-获取新增数据失败-('createTime',);",2023-06-28 16:24:51.210169
178,"基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);",2023-06-28 16:31:48.489943
179,"基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);基础主题-设置基础主题检查规则失败-('cannot unpack non-iterable SetCheckRule object',);",2023-06-28 16:33:14.022910
519,,2023-06-29 09:55:13.836579
520,,2023-06-30 10:14:38.956958
521,,2023-06-30 10:40:36.151025
522,,2023-06-30 11:36:47.069962
